Optimal Fitting Degree	Corr. MSE	Corr. R2	Empty
1	0.10980754403717922	0.8650040691143336
Degree	MSE (Training)	MSE (Testing)	R2 Score
1	0.14498725835319803	0.10980754403717922	0.8650040691143336
2	1.26152710718349	1.7725168919073204	-1.3137597884874475
3	0.5330959493600552	0.49055450316178295	0.5763566804908817
4	0.5261780877479733	0.38990701921856724	0.48828965128410606
5	4.578598696665	4.233231287284471	-3.177503279003372
6	3.443012532235537	3.8896054095911126	-2.6815282216611482
7	26.28826630237436	25.12074267219672	-26.03467439348622
8	20.114124877188605	14.44027767958901	-11.29658714755563
9	1108.4907907787292	1005.1228765567181	-1012.8445606862203
10	14.670715906874166	12.035236968485428	-10.013968633708961
