Optimal Degree	Optimal Hyperparameter
3	0.07196856730011514
Degree	MSE	R2 Score	Hyperparameter
1	0.10222163284215657	0.8907295858488248	0.01
2	0.0416845405017833	0.9617807756535427	1.9306977288832496e-05
3	0.02803032788713128	0.9746574558601074	0.07196856730011514
4	0.04242666702790277	0.9620439810086057	0.0005179474679231213
5	0.04356390604489953	0.9504486601389128	5.179474679231202e-05
6	0.04558788407486506	0.9660832397986441	7.196856730011514e-07
7	0.2840499728910083	0.7005946730412057	7.196856730011514e-05
8	0.4987900937437198	0.5493311199761836	3.727593720314938e-07
9	0.44832244320179093	0.5718826651454294	7.196856730011513e-08
10	9.412903946889745	-8.188357716401041	7.196856730011513e-08
11	4.3493551245471656	-4.015536159691086	0.026826957952797218
12	9.348541164285516	-8.93076150378875	0.0019306977288832496
13	14.435195449868589	-16.16487450206294	1.389495494373136e-07
14	26.09971847549066	-23.05503176769198	1e-05
15	16.63406485544301	-15.863221152203305	1.9306977288832496e-08
16	10.532970713847108	-8.847500646007727	7.196856730011514e-06
17	70.6986416938953	-77.7209683876358	7.196856730011513e-08
18	116.2889357741188	-98.38738538155062	0.01
19	424.23309974279306	-382.4651126236405	7.196856730011513e-08
20	203.48602034345524	-188.5070692534719	3.727593720314938e-07
