Optimal Fitting Degree	Corr. MSE	Corr. R2	Empty
4	0.000332940905848705	0.9960987034771726
Degree	MSE (Training)	MSE (Testing)	R2 Score
1	0.008594419722305041	0.013803426678488525	0.8303664157958011
2	0.005710201438070191	0.0039329686549318356	0.9468615895794867
3	0.0007685201391157481	0.0008915641238971294	0.9880845460462109
4	0.00024329520791709102	0.000332940905848705	0.9960987034771726
5	0.00016329770508878737	0.0006013155331580666	0.9929527109701459
6	0.0010929112613860415	0.0016278106494904705	0.9805967634317259
7	0.008074033331771542	0.005778295462875528	0.9096051234815437
